"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation","minusLog10P","minusLog10FDR","Mean_expression","log2Mean_expression","Direction"
"AQP7P1","Mock","ZIKV",1.70333,0.364215,-2.2255,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.0337725,1.02415830678722,"Down in ZIKV"
"EFCAB1","Mock","ZIKV",1.66037,0.361564,-2.19918,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.010967,1.00788940718927,"Down in ZIKV"
"WNT8B","Mock","ZIKV",45.952,10.0449,-2.19366,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,27.99845,4.85790388350428,"Down in ZIKV"
"PI15","Mock","ZIKV",18.3203,4.05363,-2.17615,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,11.186965,3.60726698174647,"Down in ZIKV"
"OTX2-AS1","Mock","ZIKV",0.858558,0.190734,-2.17035,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.524646,0.608474309344397,"Down in ZIKV"
"LOC100507032","Mock","ZIKV",1.15984,0.258594,-2.16517,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.709217,0.773335571355701,"Down in ZIKV"
"GINS3","Mock","ZIKV",6.46625,1.44722,-2.15965,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.956735,2.30939013062478,"Down in ZIKV"
"MFGE8","Mock","ZIKV",40.2086,9.30133,-2.112,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,24.754965,4.68677867438321,"Down in ZIKV"
"SPARCL1","Mock","ZIKV",4.20209,0.974964,-2.10768,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.588527,1.8433917755571,"Down in ZIKV"
"TPBG","Mock","ZIKV",191.205,44.9644,-2.08826,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,118.0847,6.89584425745157,"Down in ZIKV"
"SLC35G1","Mock","ZIKV",1.02038,0.240317,-2.08609,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.6303485,0.70518038499708,"Down in ZIKV"
"MFI2-AS1","Mock","ZIKV",6.59999,1.5699,-2.07179,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.084945,2.34623216962725,"Down in ZIKV"
"VSX1","Mock","ZIKV",1.75166,0.419639,-2.0615,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.0856495,1.06049672875954,"Down in ZIKV"
"TTF2","Mock","ZIKV",3.9222,0.944564,-2.05394,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.433382,1.7796303812818,"Down in ZIKV"
"SLC6A16","Mock","ZIKV",2.81808,0.679649,-2.05185,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.7488645,1.45883579372028,"Down in ZIKV"
"KCNJ2-AS1","Mock","ZIKV",1.29628,0.312764,-2.05123,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.804522,0.851616732094898,"Down in ZIKV"
"ATHL1","Mock","ZIKV",8.46073,2.05377,-2.04251,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.25725,2.64552874612691,"Down in ZIKV"
"EMILIN2","Mock","ZIKV",1.07357,0.267416,-2.00526,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.670493,0.740273937245499,"Down in ZIKV"
"SPC24","Mock","ZIKV",9.18216,2.29269,-2.00179,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.737425,2.7521973080907,"Down in ZIKV"
"ART5","Mock","ZIKV",2.36852,0.595252,-1.99241,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.481886,1.31143684995182,"Down in ZIKV"
"NRGN","Mock","ZIKV",3.02313,0.765049,-1.98242,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.8940895,1.53310953804434,"Down in ZIKV"
"EGR3","Mock","ZIKV",13.5077,3.4285,-1.97813,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,8.4681,3.24307494358227,"Down in ZIKV"
"PPFIA4","Mock","ZIKV",4.97917,1.26831,-1.973,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.12374,2.04395337428329,"Down in ZIKV"
"SPON2","Mock","ZIKV",3.39686,0.872257,-1.96138,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.1345585,1.64826225492034,"Down in ZIKV"
"AQP7P3","Mock","ZIKV",11.183,2.8748,-1.95978,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,7.0289,3.00520234474743,"Down in ZIKV"
"LOC643401","Mock","ZIKV",26.1175,6.74903,-1.95226,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,16.433265,4.12377088570414,"Down in ZIKV"
"RDM1","Mock","ZIKV",2.02621,0.529359,-1.93647,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.2777845,1.18763126087924,"Down in ZIKV"
"UHRF1","Mock","ZIKV",28.7659,7.52346,-1.93489,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,18.14468,4.25887164088001,"Down in ZIKV"
"DUSP23","Mock","ZIKV",5.3384,1.40784,-1.92293,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.37312,2.12866293703783,"Down in ZIKV"
"RNASE4","Mock","ZIKV",2.06416,0.545542,-1.91979,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.304851,1.20467348882851,"Down in ZIKV"
"MCM6","Mock","ZIKV",30.1178,7.96902,-1.91814,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,19.04341,4.32505607106414,"Down in ZIKV"
"TCF19","Mock","ZIKV",6.89786,1.83752,-1.90839,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.36769,2.4243013540312,"Down in ZIKV"
"GDF10","Mock","ZIKV",39.9571,10.7196,-1.8982,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,25.33835,4.71909306381592,"Down in ZIKV"
"CEP152","Mock","ZIKV",5.53591,1.50158,-1.88234,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.518745,2.17592214571981,"Down in ZIKV"
"MYLK","Mock","ZIKV",4.42557,1.20605,-1.87557,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.81581,1.93198933725483,"Down in ZIKV"
"LOC100505648","Mock","ZIKV",3.88473,1.0599,-1.87389,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.472315,1.79589783151626,"Down in ZIKV"
"GDPD2","Mock","ZIKV",9.03461,2.47079,-1.87049,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.7527,2.75546446479499,"Down in ZIKV"
"TEK","Mock","ZIKV",0.824733,0.225733,-1.86931,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.525233,0.609029650719881,"Down in ZIKV"
"SCARA3","Mock","ZIKV",4.23261,1.16408,-1.86235,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.698345,1.88687981278241,"Down in ZIKV"
"PLAT","Mock","ZIKV",0.827737,0.22867,-1.8559,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.5282035,0.61183666961215,"Down in ZIKV"
"VTCN1","Mock","ZIKV",1.11604,0.311018,-1.84332,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.713529,0.776970608432603,"Down in ZIKV"
"SLC2A4","Mock","ZIKV",1.12867,0.315695,-1.83802,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.7221825,0.784238033497781,"Down in ZIKV"
"CENPM","Mock","ZIKV",16.2502,4.55329,-1.83548,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,10.401745,3.5111827359606,"Down in ZIKV"
"CCNB1","Mock","ZIKV",52.4407,14.7138,-1.83352,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,33.57725,5.11175122791827,"Down in ZIKV"
"LOC100506233","Mock","ZIKV",11.0387,3.10358,-1.83056,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,7.07114,3.01277245989601,"Down in ZIKV"
"CILP2","Mock","ZIKV",4.1398,1.17345,-1.8188,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.656625,1.87051268071793,"Down in ZIKV"
"CD248","Mock","ZIKV",2.44054,0.692247,-1.81784,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.5663935,1.35974239294286,"Down in ZIKV"
"E2F2","Mock","ZIKV",4.93902,1.40491,-1.81375,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.171965,2.06072705466059,"Down in ZIKV"
"PGAP3","Mock","ZIKV",8.57487,2.4523,-1.80598,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.513585,2.70345180424186,"Down in ZIKV"
"WSB1","Mock","ZIKV",1510.07,432.483,-1.8039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,971.2765,9.92522284151965,"Down in ZIKV"
"GALNT12","Mock","ZIKV",8.16934,2.34569,-1.80021,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.257515,2.64558984422758,"Down in ZIKV"
"BCL2L2-PABPN1","Mock","ZIKV",75.9843,21.9076,-1.79427,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,48.94595,5.64229579288897,"Down in ZIKV"
"NTSR1","Mock","ZIKV",4.6173,1.33247,-1.79294,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.974885,1.99091312144612,"Down in ZIKV"
"SLC44A3","Mock","ZIKV",7.93021,2.30247,-1.78418,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.11634,2.6126686066137,"Down in ZIKV"
"MCM4","Mock","ZIKV",39.5149,11.4818,-1.78305,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,25.49835,4.72783062358475,"Down in ZIKV"
"NCAPH","Mock","ZIKV",8.48194,2.46459,-1.78305,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.473265,2.69449356556984,"Down in ZIKV"
"DGCR5","Mock","ZIKV",1.62268,0.479192,-1.7597,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.050936,1.03628247284008,"Down in ZIKV"
"HPDL","Mock","ZIKV",1.57883,0.466784,-1.75803,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.022807,1.01635867608714,"Down in ZIKV"
"MCM3","Mock","ZIKV",43.5562,12.9109,-1.75429,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,28.23355,4.86955312951924,"Down in ZIKV"
"ASF1B","Mock","ZIKV",14.8831,4.43026,-1.74821,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,9.65668,3.41368614334456,"Down in ZIKV"
"DDX11","Mock","ZIKV",13.1953,3.93447,-1.74578,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,8.564885,3.25774762294388,"Down in ZIKV"
"BTBD17","Mock","ZIKV",82.6365,24.873,-1.7322,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,53.75475,5.77491221949512,"Down in ZIKV"
"E2F1","Mock","ZIKV",26.7148,8.04177,-1.73205,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,17.378285,4.19993024032636,"Down in ZIKV"
"SLC43A3","Mock","ZIKV",0.957012,0.28838,-1.73057,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.622696,0.698392747037982,"Down in ZIKV"
"SNRPA","Mock","ZIKV",60.1597,18.1485,-1.72894,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,39.1541,5.32747539888585,"Down in ZIKV"
"TRIM45","Mock","ZIKV",21.168,6.39741,-1.72633,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,13.782705,3.88583837878394,"Down in ZIKV"
"LOC646168","Mock","ZIKV",2.15248,0.652233,-1.72254,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.4023565,1.26445025704631,"Down in ZIKV"
"PMEL","Mock","ZIKV",1.63696,0.497176,-1.71919,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.067068,1.04758584964828,"Down in ZIKV"
"RAD51AP1","Mock","ZIKV",15.5002,4.70888,-1.71883,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,10.10454,3.47307772609156,"Down in ZIKV"
"STOX1","Mock","ZIKV",1.58189,0.481453,-1.71618,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.0316715,1.02266715229057,"Down in ZIKV"
"PLAUR","Mock","ZIKV",3.55308,1.08439,-1.71219,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.318735,1.7306334352465,"Down in ZIKV"
"GLB1L","Mock","ZIKV",5.04734,1.54473,-1.70817,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.296035,2.10300574707583,"Down in ZIKV"
"GINS4","Mock","ZIKV",8.19618,2.51325,-1.7054,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.354715,2.66782742384445,"Down in ZIKV"
"BRCA1","Mock","ZIKV",8.95543,2.7468,-1.70501,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.851115,2.77633880180535,"Down in ZIKV"
"CTSL2","Mock","ZIKV",1.23166,0.378524,-1.70214,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.805092,0.852072368725375,"Down in ZIKV"
"MBOAT1","Mock","ZIKV",1.06678,0.328264,-1.70033,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.697522,0.763430272016533,"Down in ZIKV"
"CDCA3","Mock","ZIKV",20.8038,6.41614,-1.69707,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,13.60997,3.86888131061292,"Down in ZIKV"
"ACBD7","Mock","ZIKV",15.5718,4.8042,-1.69656,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,10.188,3.4838802538141,"Down in ZIKV"
"FAM122B","Mock","ZIKV",14.604,4.55292,-1.6815,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,9.57846,3.4030577117462,"Down in ZIKV"
"GINS2","Mock","ZIKV",35.1129,11.0212,-1.67172,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,23.06705,4.58898741031029,"Down in ZIKV"
"CDC7","Mock","ZIKV",13.8347,4.34448,-1.67103,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,9.08959,3.33479564524989,"Down in ZIKV"
"TTC32","Mock","ZIKV",9.66665,3.04575,-1.66622,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,6.3562,2.87896070420414,"Down in ZIKV"
"IZUMO4","Mock","ZIKV",5.80232,1.83175,-1.6634,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.817035,2.26814540641254,"Down in ZIKV"
"FANCD2","Mock","ZIKV",14.5566,4.59921,-1.66222,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,9.577905,3.40298201861575,"Down in ZIKV"
"SPAG6","Mock","ZIKV",2.82268,0.895093,-1.65696,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.8588865,1.51545334499961,"Down in ZIKV"
"FLJ31306","Mock","ZIKV",40.0562,12.7064,-1.65647,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,26.3813,4.77511903889114,"Down in ZIKV"
"BUB1B","Mock","ZIKV",24.1215,7.66016,-1.65487,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,15.89083,4.07816831748865,"Down in ZIKV"
"SLC25A10","Mock","ZIKV",7.09287,2.2576,-1.65158,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.675235,2.50468013272341,"Down in ZIKV"
"RAD51","Mock","ZIKV",6.07518,1.94154,-1.64573,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.00836,2.32433826665315,"Down in ZIKV"
"PAQR6","Mock","ZIKV",5.98713,1.93018,-1.63313,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.958655,2.30994885287638,"Down in ZIKV"
"LOC283177","Mock","ZIKV",1.76717,0.570312,-1.63161,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.168741,1.11685777070194,"Down in ZIKV"
"FAM111B","Mock","ZIKV",3.64105,1.17648,-1.62988,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.408765,1.7692491436196,"Down in ZIKV"
"KIAA1755","Mock","ZIKV",0.903176,0.291993,-1.62907,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.5975845,0.675892240722758,"Down in ZIKV"
"OIP5","Mock","ZIKV",13.4961,4.37033,-1.62673,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,8.933215,3.3122607382835,"Down in ZIKV"
"ABHD16B","Mock","ZIKV",3.68379,1.19296,-1.62665,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.438375,1.78172689825899,"Down in ZIKV"
"TRIP13","Mock","ZIKV",6.89292,2.23251,-1.62645,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.562715,2.47578919248361,"Down in ZIKV"
"CCDC19","Mock","ZIKV",1.94566,0.631891,-1.62251,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.2887755,1.19457595965171,"Down in ZIKV"
"SAMD15","Mock","ZIKV",3.47714,1.13651,-1.61329,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.306825,1.72544669889687,"Down in ZIKV"
"FLJ46906","Mock","ZIKV",5.62627,1.84234,-1.61064,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.734305,2.24315265237868,"Down in ZIKV"
"LOC100506054","Mock","ZIKV",3.89588,1.27578,-1.61057,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.58583,1.84230709334556,"Down in ZIKV"
"FBLN7","Mock","ZIKV",5.52888,1.81074,-1.61041,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.66981,2.22336385236875,"Down in ZIKV"
"MAK","Mock","ZIKV",1.73151,0.567619,-1.60904,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.1495645,1.1040444005906,"Down in ZIKV"
"CDK2","Mock","ZIKV",29.9841,9.85202,-1.60571,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,19.91806,4.38667715306108,"Down in ZIKV"
"ANKRD34B","Mock","ZIKV",3.6468,1.20396,-1.59885,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.42538,1.77626404462947,"Down in ZIKV"
"ERMAP","Mock","ZIKV",3.64191,1.20272,-1.5984,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.422315,1.77497255585971,"Down in ZIKV"
"PROM1","Mock","ZIKV",10.5053,3.47768,-1.59493,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,6.99149,2.99846451632,"Down in ZIKV"
"KCNK2","Mock","ZIKV",1.44528,0.479172,-1.59273,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.962226,0.972491213984326,"Down in ZIKV"
"C1orf216","Mock","ZIKV",6.08957,2.02218,-1.59043,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,4.055875,2.33796079517851,"Down in ZIKV"
"KIFC1","Mock","ZIKV",31.2261,10.3721,-1.59004,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,20.7991,4.44619666785562,"Down in ZIKV"
"UNC50","Mock","ZIKV",32.2922,10.7783,-1.58306,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,21.53525,4.49411154990001,"Down in ZIKV"
"XRCC2","Mock","ZIKV",7.97586,2.66488,-1.58157,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,5.32037,2.66000901750686,"Down in ZIKV"
"SARS2","Mock","ZIKV",12.4423,4.15975,-1.58069,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,8.301025,3.21738971417034,"Down in ZIKV"
"DDX12P","Mock","ZIKV",5.87183,1.97258,-1.57373,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.922205,2.29930474441219,"Down in ZIKV"
"SAPCD2","Mock","ZIKV",12.393,4.16738,-1.57231,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,8.28019,3.21415434298773,"Down in ZIKV"
