"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"RNASE4","Mock","ZIKV",2.06416,0.545542,-1.91979,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM6","Mock","ZIKV",30.1178,7.96902,-1.91814,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TCF19","Mock","ZIKV",6.89786,1.83752,-1.90839,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GDF10","Mock","ZIKV",39.9571,10.7196,-1.8982,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CEP152","Mock","ZIKV",5.53591,1.50158,-1.88234,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MYLK","Mock","ZIKV",4.42557,1.20605,-1.87557,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100505648","Mock","ZIKV",3.88473,1.0599,-1.87389,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GDPD2","Mock","ZIKV",9.03461,2.47079,-1.87049,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TEK","Mock","ZIKV",0.824733,0.225733,-1.86931,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SCARA3","Mock","ZIKV",4.23261,1.16408,-1.86235,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PLAT","Mock","ZIKV",0.827737,0.22867,-1.8559,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"VTCN1","Mock","ZIKV",1.11604,0.311018,-1.84332,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC2A4","Mock","ZIKV",1.12867,0.315695,-1.83802,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CENPM","Mock","ZIKV",16.2502,4.55329,-1.83548,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CCNB1","Mock","ZIKV",52.4407,14.7138,-1.83352,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100506233","Mock","ZIKV",11.0387,3.10358,-1.83056,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CILP2","Mock","ZIKV",4.1398,1.17345,-1.8188,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CD248","Mock","ZIKV",2.44054,0.692247,-1.81784,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"E2F2","Mock","ZIKV",4.93902,1.40491,-1.81375,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PGAP3","Mock","ZIKV",8.57487,2.4523,-1.80598,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"WSB1","Mock","ZIKV",1510.07,432.483,-1.8039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GALNT12","Mock","ZIKV",8.16934,2.34569,-1.80021,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BCL2L2-PABPN1","Mock","ZIKV",75.9843,21.9076,-1.79427,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NTSR1","Mock","ZIKV",4.6173,1.33247,-1.79294,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC44A3","Mock","ZIKV",7.93021,2.30247,-1.78418,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM4","Mock","ZIKV",39.5149,11.4818,-1.78305,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NCAPH","Mock","ZIKV",8.48194,2.46459,-1.78305,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DGCR5","Mock","ZIKV",1.62268,0.479192,-1.7597,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HPDL","Mock","ZIKV",1.57883,0.466784,-1.75803,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM3","Mock","ZIKV",43.5562,12.9109,-1.75429,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ASF1B","Mock","ZIKV",14.8831,4.43026,-1.74821,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DDX11","Mock","ZIKV",13.1953,3.93447,-1.74578,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BTBD17","Mock","ZIKV",82.6365,24.873,-1.7322,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"E2F1","Mock","ZIKV",26.7148,8.04177,-1.73205,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC43A3","Mock","ZIKV",0.957012,0.28838,-1.73057,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SNRPA","Mock","ZIKV",60.1597,18.1485,-1.72894,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TRIM45","Mock","ZIKV",21.168,6.39741,-1.72633,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC646168","Mock","ZIKV",2.15248,0.652233,-1.72254,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PMEL","Mock","ZIKV",1.63696,0.497176,-1.71919,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RAD51AP1","Mock","ZIKV",15.5002,4.70888,-1.71883,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"STOX1","Mock","ZIKV",1.58189,0.481453,-1.71618,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PLAUR","Mock","ZIKV",3.55308,1.08439,-1.71219,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GLB1L","Mock","ZIKV",5.04734,1.54473,-1.70817,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GINS4","Mock","ZIKV",8.19618,2.51325,-1.7054,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BRCA1","Mock","ZIKV",8.95543,2.7468,-1.70501,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CTSL2","Mock","ZIKV",1.23166,0.378524,-1.70214,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MBOAT1","Mock","ZIKV",1.06678,0.328264,-1.70033,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDCA3","Mock","ZIKV",20.8038,6.41614,-1.69707,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ACBD7","Mock","ZIKV",15.5718,4.8042,-1.69656,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FAM122B","Mock","ZIKV",14.604,4.55292,-1.6815,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GINS2","Mock","ZIKV",35.1129,11.0212,-1.67172,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDC7","Mock","ZIKV",13.8347,4.34448,-1.67103,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TTC32","Mock","ZIKV",9.66665,3.04575,-1.66622,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IZUMO4","Mock","ZIKV",5.80232,1.83175,-1.6634,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FANCD2","Mock","ZIKV",14.5566,4.59921,-1.66222,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SPAG6","Mock","ZIKV",2.82268,0.895093,-1.65696,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FLJ31306","Mock","ZIKV",40.0562,12.7064,-1.65647,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BUB1B","Mock","ZIKV",24.1215,7.66016,-1.65487,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC25A10","Mock","ZIKV",7.09287,2.2576,-1.65158,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RAD51","Mock","ZIKV",6.07518,1.94154,-1.64573,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PAQR6","Mock","ZIKV",5.98713,1.93018,-1.63313,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC283177","Mock","ZIKV",1.76717,0.570312,-1.63161,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FAM111B","Mock","ZIKV",3.64105,1.17648,-1.62988,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIAA1755","Mock","ZIKV",0.903176,0.291993,-1.62907,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OIP5","Mock","ZIKV",13.4961,4.37033,-1.62673,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ABHD16B","Mock","ZIKV",3.68379,1.19296,-1.62665,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TRIP13","Mock","ZIKV",6.89292,2.23251,-1.62645,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CCDC19","Mock","ZIKV",1.94566,0.631891,-1.62251,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SAMD15","Mock","ZIKV",3.47714,1.13651,-1.61329,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FLJ46906","Mock","ZIKV",5.62627,1.84234,-1.61064,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100506054","Mock","ZIKV",3.89588,1.27578,-1.61057,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FBLN7","Mock","ZIKV",5.52888,1.81074,-1.61041,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MAK","Mock","ZIKV",1.73151,0.567619,-1.60904,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDK2","Mock","ZIKV",29.9841,9.85202,-1.60571,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ANKRD34B","Mock","ZIKV",3.6468,1.20396,-1.59885,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ERMAP","Mock","ZIKV",3.64191,1.20272,-1.5984,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PROM1","Mock","ZIKV",10.5053,3.47768,-1.59493,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KCNK2","Mock","ZIKV",1.44528,0.479172,-1.59273,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C1orf216","Mock","ZIKV",6.08957,2.02218,-1.59043,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIFC1","Mock","ZIKV",31.2261,10.3721,-1.59004,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"UNC50","Mock","ZIKV",32.2922,10.7783,-1.58306,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"XRCC2","Mock","ZIKV",7.97586,2.66488,-1.58157,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SARS2","Mock","ZIKV",12.4423,4.15975,-1.58069,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DDX12P","Mock","ZIKV",5.87183,1.97258,-1.57373,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SAPCD2","Mock","ZIKV",12.393,4.16738,-1.57231,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CENPK","Mock","ZIKV",18.2829,6.15754,-1.57007,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IMPA2","Mock","ZIKV",10.8634,3.67679,-1.56296,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RD3","Mock","ZIKV",0.994074,0.336542,-1.56257,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SFRP2","Mock","ZIKV",480.639,162.786,-1.56197,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"COL12A1","Mock","ZIKV",0.675838,0.23036,-1.55279,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EMILIN3","Mock","ZIKV",11.5136,3.92774,-1.55157,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NME5","Mock","ZIKV",7.24066,2.47361,-1.5495,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PIF1","Mock","ZIKV",11.9596,4.08687,-1.5491,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC729013","Mock","ZIKV",5.28636,1.80724,-1.54848,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KDELC2","Mock","ZIKV",6.88804,2.3584,-1.54628,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"AURKB","Mock","ZIKV",49.17,16.8746,-1.54293,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SDC1","Mock","ZIKV",21.1631,7.2661,-1.5423,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CLSPN","Mock","ZIKV",4.80638,1.65344,-1.53948,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIF19","Mock","ZIKV",4.31374,1.48441,-1.53905,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PABPN1","Mock","ZIKV",41.6024,14.3579,-1.53482,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ACYP1","Mock","ZIKV",32.2776,11.162,-1.53194,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ENPP1","Mock","ZIKV",0.981995,0.340077,-1.52985,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DLGAP5","Mock","ZIKV",25.8165,9.00609,-1.51932,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LINC00472","Mock","ZIKV",4.84566,1.69054,-1.51921,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM5","Mock","ZIKV",31.9678,11.1746,-1.51639,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM2","Mock","ZIKV",46.0244,16.102,-1.51516,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DSCC1","Mock","ZIKV",7.45626,2.6094,-1.51473,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NID1","Mock","ZIKV",2.07787,0.72785,-1.51339,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TMEM80","Mock","ZIKV",7.99078,2.80534,-1.51016,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PYCRL","Mock","ZIKV",4.17166,1.46566,-1.50907,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MED11","Mock","ZIKV",6.69997,2.36687,-1.50118,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DTL","Mock","ZIKV",11.6342,4.11367,-1.49987,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FLT4","Mock","ZIKV",0.917688,0.324838,-1.49829,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ASB16-AS1","Mock","ZIKV",8.89913,3.15494,-1.49605,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MMP2","Mock","ZIKV",7.22021,2.56126,-1.49519,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C1QTNF6","Mock","ZIKV",7.27339,2.58231,-1.49397,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HYAL1","Mock","ZIKV",1.35553,0.481698,-1.49266,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GABPB1-AS1","Mock","ZIKV",12.9252,4.60228,-1.48977,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"WDR76","Mock","ZIKV",3.83815,1.37838,-1.47744,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CYP26B1","Mock","ZIKV",9.74987,3.50148,-1.47742,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FANCB","Mock","ZIKV",1.77015,0.636514,-1.47561,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BIRC5","Mock","ZIKV",38.673,13.93,-1.47313,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HES6","Mock","ZIKV",458.282,165.232,-1.47174,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATP1A2","Mock","ZIKV",0.705665,0.254622,-1.47062,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SGOL2","Mock","ZIKV",10.4207,3.77349,-1.46548,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC642846","Mock","ZIKV",3.36894,1.22217,-1.46285,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SMIM7","Mock","ZIKV",30.4819,11.0582,-1.46284,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLFML2A","Mock","ZIKV",1.05767,0.384278,-1.46067,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLIG3","Mock","ZIKV",6.48879,2.36295,-1.45736,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PSMG3-AS1","Mock","ZIKV",3.31998,1.20939,-1.4569,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HYAL2","Mock","ZIKV",42.9039,15.6534,-1.45464,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MKRN3","Mock","ZIKV",21.1597,7.74115,-1.4507,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C10orf114","Mock","ZIKV",6.45843,2.36357,-1.45021,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC38A4","Mock","ZIKV",2.24434,0.824021,-1.44554,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ACTC1","Mock","ZIKV",4.33595,1.59555,-1.44229,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLFML2B","Mock","ZIKV",2.9443,1.08346,-1.44228,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATF6B","Mock","ZIKV",51.4517,18.9395,-1.44182,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARHGEF6","Mock","ZIKV",3.43016,1.26416,-1.44009,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EMB","Mock","ZIKV",5.61677,2.07003,-1.44009,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MFAP2","Mock","ZIKV",71.5649,26.4559,-1.43566,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ORC6","Mock","ZIKV",25.5913,9.46072,-1.43563,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC19A1","Mock","ZIKV",6.71354,2.48242,-1.43533,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CPAMD8","Mock","ZIKV",2.07057,0.766279,-1.43408,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MIS18BP1","Mock","ZIKV",11.9929,4.45353,-1.42916,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TMEM194A","Mock","ZIKV",18.3202,6.80743,-1.42825,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KCNAB3","Mock","ZIKV",2.01764,0.752086,-1.4237,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDCA7","Mock","ZIKV",16.0813,5.99482,-1.42359,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MAPK11","Mock","ZIKV",36.4828,13.6309,-1.42034,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DPY19L2","Mock","ZIKV",3.36007,1.25621,-1.41942,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100272228","Mock","ZIKV",7.04284,2.64307,-1.41395,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ITGB5","Mock","ZIKV",13.3888,5.048,-1.40724,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CENPI","Mock","ZIKV",6.12824,2.31591,-1.40389,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RABL2A","Mock","ZIKV",9.71278,3.67137,-1.40357,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C19orf57","Mock","ZIKV",2.42022,0.915129,-1.40309,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TNFAIP8","Mock","ZIKV",2.23079,0.845925,-1.39895,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIAA0101","Mock","ZIKV",13.6888,5.19246,-1.39851,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM10","Mock","ZIKV",9.08775,3.44719,-1.3985,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RBM14","Mock","ZIKV",16.144,6.12616,-1.39794,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SEPT10","Mock","ZIKV",22.5815,8.57177,-1.39748,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"METTL3","Mock","ZIKV",34.5605,13.135,-1.39571,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IRS4","Mock","ZIKV",7.59487,2.89875,-1.38959,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PLEKHH2","Mock","ZIKV",0.912058,0.348232,-1.38908,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FOSB","Mock","ZIKV",134.086,51.3114,-1.38581,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PIGW","Mock","ZIKV",2.82191,1.0853,-1.37857,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CEMP1","Mock","ZIKV",8.49384,3.26927,-1.37745,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BHLHE23","Mock","ZIKV",3.20201,1.23277,-1.37707,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARGLU1","Mock","ZIKV",173.807,67.0666,-1.37382,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"APOLD1","Mock","ZIKV",2.30218,0.88837,-1.37377,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDH24","Mock","ZIKV",25.8319,9.98442,-1.3714,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
